TILEID,PROGRAM,SURVEY,PETALID,H,N_GAL,N_STAR,N_QSO,N_GOOD_Z
20386,bright,main,3,0.9952072313009116,296,96,3,395
20386,bright,main,4,0.9925191471125309,319,93,2,414
20386,bright,main,5,0.9940396571511481,270,143,3,416
20386,bright,main,6,0.9908462974866837,277,84,5,366
20386,bright,main,7,0.9934658410153488,290,77,2,369
20386,bright,main,8,0.9947584477133875,322,105,0,427
20386,bright,main,9,0.9947584477133875,322,105,0,427
20086,bright,main,0,0.9918569917389586,371,61,2,434
20086,bright,main,1,0.996052336173739,353,39,3,395
20086,bright,main,2,0.9939640962154898,336,85,4,425
20086,bright,main,3,0.9877350793246648,332,63,2,397
20086,bright,main,4,0.9902318181146804,319,70,4,393
20086,bright,main,5,0.9925367588954475,345,58,3,406
20086,bright,main,6,0.996826213194566,295,67,1,363
20086,bright,main,7,0.9894441828563655,309,48,3,360
20086,bright,main,8,0.9865367035230578,370,49,2,421
20086,bright,main,9,0.9865367035230578,370,49,2,421
1816,dark,main,0,0.9924870796223745,268,21,94,383
1816,dark,main,1,0.9934267114831031,234,25,81,340
1816,dark,main,2,0.9850985456165584,248,31,87,366
1816,dark,main,3,0.9935621264416923,225,32,83,340
1816,dark,main,4,0.991448467934711,225,29,93,347
1816,dark,main,5,0.9875671326853365,229,24,88,341
1816,dark,main,6,0.9868216153047048,222,23,71,316
1816,dark,main,7,0.9891776597595003,204,20,91,315
1816,dark,main,8,0.9961893035720201,263,28,77,368
1816,dark,main,9,0.9961893035720201,263,28,77,368
1905,dark,main,0,0.9774149101208043,93,15,31,139
1905,dark,main,1,0.9924344412485903,229,38,84,351
1905,dark,main,2,0.9911751627159185,258,29,85,372
1905,dark,main,3,0.992617973805128,237,30,75,342
1905,dark,main,4,0.9872943138202186,220,41,82,343
1905,dark,main,5,0.9935948824100584,243,34,76,353
1905,dark,main,6,0.9881882488608913,209,28,73,310
1905,dark,main,7,0.9833288267278132,224,27,70,321
1905,dark,main,8,0.9963443385976342,246,34,85,365
1905,dark,main,9,0.9963443385976342,246,34,85,365
1900,dark,main,0,0.9895067868132452,261,24,93,378
1900,dark,main,1,0.989206498027219,234,25,80,339
1900,dark,main,2,0.9903162076262368,247,30,90,367
1900,dark,main,3,0.9942012724933146,244,20,94,358
1900,dark,main,4,0.9847886139111784,253,19,82,354
1900,dark,main,5,0.9950384418558782,249,17,89,355
1900,dark,main,6,0.9912999359643185,239,23,64,326
1900,dark,main,7,0.99082732378774,222,23,66,311
1900,dark,main,8,0.9934838168894089,258,31,84,373
