TILEID,PROGRAM,SURVEY,PETALID,H,N_GAL,N_STAR,N_QSO,N_GOOD_Z
20134,bright,main,9,0.972804497268714,358,68,3,429
20515,bright,main,0,0.9788671921863801,339,93,5,437
20515,bright,main,1,0.9666429195549245,307,93,4,404
20515,bright,main,2,0.9509832334653351,339,100,3,442
20515,bright,main,3,0.9721500394494529,326,74,4,404
20515,bright,main,4,0.9494430947602885,316,96,1,413
20515,bright,main,5,0.9652266989868672,312,110,0,422
20515,bright,main,6,0.9481855707042331,259,106,5,370
20515,bright,main,7,0.9393228396328136,271,103,2,376
20515,bright,main,8,0.9505900741438503,341,85,1,427
20515,bright,main,9,0.9424729410903905,340,90,6,436
20207,bright,main,0,0.9584898529493,371,70,2,443
20207,bright,main,1,0.9753979996108025,326,73,2,401
20207,bright,main,2,0.9682284788075525,360,72,4,436
20207,bright,main,3,0.9402157280583094,303,94,2,399
20207,bright,main,4,0.9828149684249242,325,88,1,414
20207,bright,main,5,0.9659075692873172,317,97,3,417
20207,bright,main,6,0.9397143594082241,302,68,3,373
20207,bright,main,7,0.9465558779495277,286,78,2,366
20207,bright,main,8,0.9640512858669307,341,80,2,423
20207,bright,main,9,0.9646525154728168,371,60,2,433
