TILEID,PROGRAM,SURVEY,LASTNIGHT,PETALID,H,H_TILE,N_GAL,N_STAR,N_QSO,N_GOOD_Z
82237,dark,special,20210917,7,0.9915948873245594,0.9988088166325383,232,18,69,319
82237,dark,special,20210917,8,0.9940450646781986,0.9988088166325383,267,16,85,368
82237,dark,special,20210917,9,0.9880829508915243,0.9988088166325383,285,18,79,382
82258,bright,special,20210919,0,0.9859538373822192,0.9991386701788729,342,88,0,430
82258,bright,special,20210919,1,0.9732126648034087,0.9991386701788729,158,33,2,193
82258,bright,special,20210919,2,0.9878226300050226,0.9991386701788729,324,60,6,390
82258,bright,special,20210919,3,0.992916815940457,0.9991386701788729,304,82,4,390
82258,bright,special,20210919,4,0.9845430228763281,0.9991386701788729,157,49,1,207
82258,bright,special,20210919,5,0.9951342041432732,0.9991386701788729,306,88,5,399
82258,bright,special,20210919,6,0.9893919645834746,0.9991386701788729,272,83,3,358
82258,bright,special,20210919,7,0.9921639724265651,0.9991386701788729,271,87,3,361
82258,bright,special,20210919,8,0.9874140024846559,0.9991386701788729,296,112,1,409
82258,bright,special,20210919,9,0.9940032556815687,0.9991386701788729,311,106,3,420
22402,bright,main,20210921,0,0.9872225811901338,0.9984552172612744,307,129,6,442
22402,bright,main,20210921,1,0.9836386646871355,0.9984552172612744,139,51,1,191
22402,bright,main,20210921,2,0.9950441920270447,0.9984552172612744,322,105,2,429
22402,bright,main,20210921,3,0.9832170783848384,0.9984552172612744,276,123,3,402
22402,bright,main,20210921,4,0.9891997006036125,0.9984552172612744,149,52,3,204
22402,bright,main,20210921,5,0.9895708332286431,0.9984552172612744,291,113,2,406
22402,bright,main,20210921,6,0.989418841101655,0.9984552172612744,290,133,3,426
22402,bright,main,20210921,7,0.9943572434608218,0.9984552172612744,268,103,2,373
22402,bright,main,20210921,8,0.9944997727967225,0.9984552172612744,294,121,7,422
22402,bright,main,20210921,9,0.9921514654406394,0.9984552172612744,278,142,5,425
25649,bright,main,20210921,0,0.9848379954926652,0.9994891773295369,374,71,2,447
25649,bright,main,20210921,1,0.9771804287463801,0.9994891773295369,156,37,2,195
25649,bright,main,20210921,2,0.9908208743610043,0.9994891773295369,341,83,3,427
25649,bright,main,20210921,3,0.9930291983180717,0.9994891773295369,307,83,7,397
25649,bright,main,20210921,4,0.969396566307217,0.9994891773295369,155,48,2,205
25649,bright,main,20210921,5,0.9929055731587335,0.9994891773295369,335,74,3,412
25649,bright,main,20210921,6,0.9938896473668279,0.9994891773295369,340,86,4,430
25649,bright,main,20210921,7,0.9921451820676407,0.9994891773295369,286,84,3,373
25649,bright,main,20210921,8,0.9951605124081376,0.9994891773295369,315,102,2,419
25649,bright,main,20210921,9,0.9917402689152643,0.9994891773295369,344,74,5,423
22377,bright,main,20210921,0,0.9958306796921836,0.9991173290216693,294,132,8,434
22377,bright,main,20210921,1,0.9921220735599117,0.9991173290216693,145,49,3,197
22377,bright,main,20210921,2,0.9951607136466868,0.9991173290216693,296,143,1,440
